Start,End,Lobbyist,Client,Industry,Cluster
2013-10-01,2016-10-05,Steven Metcalfe,The Stratford Company,Real Estate Development,564
2013-10-01,2015-10-02,Steven Metcalfe,The Dinerstein Companies,Real Estate,60
2013-10-01,2014-10-01,Steven Metcalfe,thinkEAST,Real Estate,909
2013-10-01,2014-10-01,Steven Metcalfe,McShane Development,Real Estate Development,110
2013-10-01,2014-10-01,Steven Metcalfe,St. Michael's Episcopal Church,Real Estate Development,910
2013-10-01,2014-10-01,Steven Metcalfe,Heiser Development,Real Estate Development,743
2013-10-01,2014-10-01,Steven Metcalfe,Stonelake Capital Partners,Real Estate Developement,911
2013-10-01,2016-10-05,Steven Metcalfe,Sutton Company,Real Estate,255
2013-10-01,2014-10-01,Steven Metcalfe,John Kleas,Real Estate,912
2013-10-01,2014-10-01,Steven Metcalfe,Morgan Group,Real Estate,256
2013-10-01,2014-10-01,Steven Metcalfe,Austin Sunshine Camp,Real Estate,257
2013-10-01,2014-10-01,Steven Metcalfe,Butler Family Partnership,Real Estate Development,152
2013-10-01,2014-10-01,Steven Metcalfe,Texas Bar and Nightclub Alliance,Real Estate Development,913
2013-10-01,2014-10-01,Steven Metcalfe,Cameron and Killingsworth- Pflugerville 292,Real Estate Development,914
2013-10-01,2014-10-01,Steven Metcalfe,Milestone Community Builders,Real Estate,259
2013-10-01,2014-10-01,Steven Metcalfe,Crescent Recourses,Real Property Owners,261
2013-10-01,2014-10-01,Steven Metcalfe,Koontz-McCombs,Land Development,262
2013-10-01,2014-10-01,Steven Metcalfe,Reagan National Advertising,Outdoor Advertising,832
2013-10-01,2015-10-02,Steven Metcalfe,Neal Richards Group,Real Estate,235
2013-10-01,2014-10-01,Steven Metcalfe,Austin Aquatics and Sports Academy,Real Estate,263
2013-10-01,2014-10-01,Steven Metcalfe,C and G Ventures,Real Estate,915
2013-10-01,2014-10-01,Steven Metcalfe,Fifth Generation Tasting,Real Estate,916
2013-10-01,2014-10-01,Steven Metcalfe,"Stutzman, Bromberg, Esserman and Plifka",Real Estate,917
2013-10-01,2014-10-01,Steven Metcalfe,Sage South Shore,Real Estate,264
2013-10-01,2015-10-02,Steven Metcalfe,Street Lights Residential,Real Estate Development,265
2012-09-28,2013-09-28,Cheryl Burtzel,National Joint Powers Alliance,Procurement,266
2012-09-27,2013-09-27,Amelia Lopez Saltarelli,Cornerbrook Development,Multi-family Development,217
2012-09-27,2013-09-27,Amelia Lopez Saltarelli,Rancho Garza,Land Development,218
2012-09-27,2013-09-27,Amelia Lopez Saltarelli,Austin Community College District,Community College,219
2012-09-27,2013-09-27,Amelia Lopez Saltarelli,One World Theatre,Entertainment,220
2013-09-20,2014-09-20,Jennifer Houlihan,Austin Music People,Live Music,267
2010-09-14,2011-09-14,Glenn Shankle,IESI,Waste management and recycling,863
2013-09-05,2014-09-05,John Joseph,CBL and Associates Management,Real Estate,268
2013-09-05,2016-09-11,John Joseph,Braker Valley,Land Development,269
2013-09-05,2014-09-05,John Joseph,Roy Cavanaugh,Real Estate,271
2013-09-05,2016-09-11,John Joseph,A and M Option 541,Real Estate Development,272
2013-09-05,2015-09-04,John Joseph,The Brohn Group,Real Estate,170
2013-09-05,2015-09-04,John Joseph,"Coats, Rose, Yale, Ryman and Lee",Practice of Law,273
2013-09-05,2016-09-11,John Joseph,RKS Texas Investments,Real Estate Development,809
2013-09-05,2014-09-05,John Joseph,Rob Roy Homeowners Association,Neighborhood Association,274
2013-09-05,2014-09-05,John Joseph,5001 Convict Hill,Real Estate Development,275
2013-09-05,2014-09-05,John Joseph,Balcones Country Club Membership Association,Real Estate Development,918
2013-09-05,2016-09-11,John Joseph,Buffalo Equities,Real estate development,278
2013-09-05,2014-09-05,John Joseph,SC Lantana Investors,Real Estate Development,279
2013-09-05,2014-09-05,John Joseph,Harris Branch Master Association,Real Estate Development,457
2013-09-05,2014-09-05,John Joseph,Austin Presbetyrian Theological Seminary,Religious Organization,280
2013-09-05,2014-09-05,John Joseph,Steve and Michelle Turnquist,Property Owners,919
2013-09-05,2015-09-04,John Joseph,GHI Partners,Real estate development,281
2013-09-05,2015-09-04,John Joseph,Kam Kronenberg,Real Estate,282
2013-09-05,2015-09-04,John Joseph,Brady Ohman,Property Owner,283
2013-09-05,2014-09-05,John Joseph,Vineyard Management,Real Estate,920
2013-09-05,2014-09-05,John Joseph,APAC- Tecas,Sand and gravel mining,921
2013-09-05,2014-09-05,John Joseph,Austin Ridge Bible Church,Real Estate Development,284
2013-09-03,2016-08-28,Carlos Lopez,HNTB,"Architecture, engineering and planning services",142
2013-08-29,2014-08-29,Bustamante Christine,Dropbox,Technology/Secure Data Storage,285
2013-08-20,2017-02-03,Alice Myers,Tacala dba Taco Bell,Fast Food,755
2013-08-20,2017-02-03,Alice Myers,Austin Sonic,Quick Food Service,286
2013-08-20,2017-02-03,Alice Myers,McDonalds,Quick Service Food,287
2013-08-20,2017-02-03,Alice Myers,Whataburger,Quick Food Service,288
2011-08-17,2012-08-16,Travis Phillips,408 Sterzing,Land Development Company,289
2011-08-17,2012-08-16,Travis Phillips,Amaz for Hair,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,"Nadeau, Sean",Real Property Owner,290
2011-08-17,2012-08-16,Travis Phillips,Reagan National Advertising,Outdoor Advertising,832
2011-08-17,2012-08-16,Travis Phillips,Insurance Auto Auctions,Auto Salvage,420
2011-08-17,2012-08-16,Travis Phillips,"Miller, John Calhoun",Property Owner,717
2011-08-17,2012-08-16,Travis Phillips,720 Lamar Place,Property Owner,769
2011-08-17,2012-08-16,Travis Phillips,AECOM,Engineers,292
2011-08-17,2012-08-16,Travis Phillips,Anderson's Coffee,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Asterisk Group,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Austin Flower Co.,Property Owner,719
2011-08-17,2012-08-16,Travis Phillips,Austin's Pizza,Property Owner,719
2011-08-17,2012-08-16,Travis Phillips,Avis Rent-A-Car,Property Owner,718
2011-08-17,2012-08-16,Travis Phillips,bella-mi Children's Store,Property Owner,726
2011-08-17,2012-08-16,Travis Phillips,Berns Commercial Properties,Real Property Owner,293
2011-08-17,2012-08-16,Travis Phillips,Bouldin Creek Neighborhood Association,Neighborhood Association,299
2011-08-17,2012-08-16,Travis Phillips,Bradz Salon,Property Owner,720
2011-08-17,2012-08-16,Travis Phillips,Bunkhouse Management,Developer,303
2011-08-17,2012-08-16,Travis Phillips,Alex and Mark Calderon,Property Owner,307
2011-08-17,2012-08-16,Travis Phillips,Capelli Salon,Property Owner,307
2011-08-17,2012-08-16,Travis Phillips,Capitol City Imports,Property Owner,308
2011-08-17,2012-08-16,Travis Phillips,Caroline's,Property Owner,307
2011-08-17,2012-08-16,Travis Phillips,Cathedral of Junk,Property Owner,309
2011-08-17,2012-08-16,Travis Phillips,"Cobalt Partners, Limited",Property Owner,310
